name;info;birth;demise;dataUrl
José Gorostiza;Poeta mexicano;1901;1973;https://proverbia.net/autor/frases-de-jose-gorostiza
Elliot Gould;Actor estadounidense;1939;?;https://proverbia.net/autor/frases-de-elliot-gould
Jack Gould;;Actor estadounidense;;https://proverbia.net/autor/frases-de-jack-gould
Edmond Gouncourt;Novelista naturalista francés;1822;1896;https://proverbia.net/autor/frases-de-edmond-gouncourt
Jules Gouncourt;Novelista francés;1830;1870;https://proverbia.net/autor/frases-de-jules-gouncourt
Remy de Gourmont;Novelista francés;1858;1915;https://proverbia.net/autor/frases-de-remy-de-gourmont
Francisco deGoya;;;;https://proverbia.net/autor/frases-de-francisco-de-goya
Gasparo Gozzi;Dramaturgo y crítico italiano;1713;1786;https://proverbia.net/autor/frases-de-gasparo-gozzi
Baltasar Gracián;Escritor español;1601;1658;https://proverbia.net/autor/frases-de-baltasar-gracian
Arturo Graf;Escritor y poeta italiano;1848;1913;https://proverbia.net/autor/frases-de-arturo-graf
Judy Grahn;Poeta norteamericana;1940;?;https://proverbia.net/autor/frases-de-judy-grahn
H.Greele;;;;https://proverbia.net/autor/frases-de-h-greele
Julian Green;Escritor norteamericano, nacido en Francia;1900;1998;https://proverbia.net/autor/frases-de-julian-green-
Graham Greene;Novelista británico;1904;1991;https://proverbia.net/autor/frases-de-graham-greene
Franz Grillparzer;Dramaturgo austriaco;1791;1872;https://proverbia.net/autor/frases-de-franz-grillparzer
Juan Gris;Pintor español;1887;1927;https://proverbia.net/autor/frases-de-juan-gris
Giovanni Guareschi;Periodista y escritor italiano;1908;1968;https://proverbia.net/autor/frases-de-giovanni-guareschi
Alfonso Guerra;Político español;1947;?;https://proverbia.net/autor/frases-de-alfonso-guerra
Fray Antonio de Guevara;Escritor y eclesiástico español;1480;1545;https://proverbia.net/autor/frases-de-fray-antonio-de-guevara
Ernesto 'Che' Guevara;Revolucionario argentino;1928;1967;https://proverbia.net/autor/frases-de-ernesto-che-guevara
Jorge Guillén;Poeta español;1893;1984;https://proverbia.net/autor/frases-de-jorge-guillen
Alec Guinnes;Actor inglés;1914;1989;https://proverbia.net/autor/frases-de-alec-guinnes
Albert Guinon;Dramaturgo francés;1863;1923;https://proverbia.net/autor/frases-de-albert-guinon
Ricardo Güiraldes;Escritor argentino;1886;1927;https://proverbia.net/autor/frases-de-ricardo-g%C3%BCiraldes
Sacha Guitry;Director, actor y guionista francés;1885;1957;https://proverbia.net/autor/frases-de-sacha-guitry
George Gurdjieff;Filósofo y escritor ruso;1877;1949;https://proverbia.net/autor/frases-de-george-gurdjieff
JohannGütemberg;;;;https://proverbia.net/autor/frases-de-johann-g%C3%BCtemberg
Gustavo Gutierrez Merino;Filósofo y teólogo peruano;1928;?;https://proverbia.net/autor/frases-de-gustavo-gutierrez-merino
