name;info;birth;demise;dataUrl
Giuseppe Mazzini;Político italiano;1805;1872;https://proverbia.net/autor/frases-de-giuseppe-mazzini
Louis McHenry Howe;Político estadounidense;1871;1936;https://proverbia.net/autor/frases-de-louis-mchenry-howe
Mignon McLaughlin;Periodista estadounidense;1913;1983;https://proverbia.net/autor/frases-de-mignon-mclaughlin-
Herbert Marshall McLuhan;Comunicólogo canadiense;1911;1980;https://proverbia.net/autor/frases-de-herbert-marshall-mcluhan
Michael Medved;Periodista y escritor estadounidense;1948;?;https://proverbia.net/autor/frases-de-michael-medved
Herman Melville;Escritor estadounidense;1819;1891;https://proverbia.net/autor/frases-de-herman-melville
Menandro de Atenas;Dramaturgo Griego;342 adC;292 adC;https://proverbia.net/autor/frases-de-menandro-de-atenas
Mencio;Filósofo chino confuciano;372 a.C.;289 a.C.;https://proverbia.net/autor/frases-de-mencio
Henry-Louis Mencken;Periodista y escritor estadounidense;1880;1956;https://proverbia.net/autor/frases-de-henrylouis-mencken
Eduardo Mendoza;Escritor español;1943;?;https://proverbia.net/autor/frases-de-eduardo-mendoza
Karl A. Menninger;Psiquiatra estadounidense;1893;1990;https://proverbia.net/autor/frases-de-karl-a-menninger
Jehudi Menuhin;Violinista y director de orquesta;1916;1999;https://proverbia.net/autor/frases-de-jehudi-menuhin
Prosper Mérimée;Escritor francés;1803;1870;https://proverbia.net/autor/frases-de-prosper-merimee
Pietro Metastasio;Poeta italiano;1698;1782;https://proverbia.net/autor/frases-de-pietro-metastasio
Jules Michelet;;Historiador francés;;https://proverbia.net/autor/frases-de-jules-michelet
Thomas Middleton;Dramaturgo inglés;1580;1627;https://proverbia.net/autor/frases-de-thomas-middleton
Mercedes Milá;Periodista y presentadora española;1951;?;https://proverbia.net/autor/frases-de-mercedes-mila
John Stuart Mill;Filósofo y economista inglés;1806;1873;https://proverbia.net/autor/frases-de-john-stuart-mill
Arthur Miller;Dramaturgo estadounidense;1915;2005;https://proverbia.net/autor/frases-de-arthur-miller
Henry Miller;Escritor estadounidense;1891;1980;https://proverbia.net/autor/frases-de-henry-miller
John Milton;Poeta inglés;1608;1674;https://proverbia.net/autor/frases-de-john-milton
Antonio Mingote;Dibujante y humorista español;1919;2012;https://proverbia.net/autor/frases-de-antonio-mingote
