name;info;birth;demise;dataUrl
Camille Sée;Político y abogado francés;1847;1919;https://proverbia.net/autor/frases-de-camille-see
Yorgos Seferis;Poeta y diplomático griego;1900;1971;https://proverbia.net/autor/frases-de-yorgos-seferis
Dan Seligman;;Columnista de la revista Forbes.;;https://proverbia.net/autor/frases-de-dan-seligman
Walter C. Sellar;Humorista británico;1898;1951;https://proverbia.net/autor/frases-de-walter-c-sellar
Ramón J. Sénder;Escritor español;1902;1982;https://proverbia.net/autor/frases-de-ramon-j-sender
Séneca;Filósofo latino;2 AC;65;https://proverbia.net/autor/frases-de-seneca
J.P.Sergent;;;;https://proverbia.net/autor/frases-de-jp-sergent
Joan Manuel Serrat;Cantautor español;1943;?;https://proverbia.net/autor/frases-de-joan-manuel-serrat
ClaudeSerre;;;;https://proverbia.net/autor/frases-de-claude-serre
Miguel Servet;Médico y reformista español;1511;1553;https://proverbia.net/autor/frases-de-miguel-servet
Madame de Sévigné;Escritora francesa;1626;1696;https://proverbia.net/autor/frases-de-madame-de-sevigne
Thomas Shadwell;Dramaturgo inglés;1642;1692;https://proverbia.net/autor/frases-de-thomas-shadwell
William Shakespeare;Escritor británico;1564;1616;https://proverbia.net/autor/frases-de-william-shakespeare
William Shankly;Entrenador de fútbol inglés;1913;1981;https://proverbia.net/autor/frases-de-william-shankly
George Bernard Shaw;Escritor irlandés;1856;1950;https://proverbia.net/autor/frases-de-george-bernard-shaw
Percy Bysshe Shelley;Poeta británico;1792;1822;https://proverbia.net/autor/frases-de-percy-bysshe-shelley
Vittorio de Sica;Cineasta italiano;1901;1974;https://proverbia.net/autor/frases-de-vittorio-de-sica
Emmanuel Joseph Sieyès;Político francés;1748;1836;https://proverbia.net/autor/frases-de-emmanuel-joseph-sieyes
BeverlySills;;;;https://proverbia.net/autor/frases-de-beverly-sills
Georges Simenon;Escritor belga;1903;1989;https://proverbia.net/autor/frases-de-georges-simenon
Georg Simmel;Sociólogo y filósofo alemán;1858;1918;https://proverbia.net/autor/frases-de-georg-simmel
Frank Sinatra;Cantante y actor de cine;1915;1998;https://proverbia.net/autor/frases-de-frank-sinatra
Upton Sinclair;Novelista y escritor estadounidense;1878;1968;https://proverbia.net/autor/frases-de-upton-sinclair
S.Siporin;;;;https://proverbia.net/autor/frases-de-s-siporin
SwamiSivananda;;;;https://proverbia.net/autor/frases-de-swami-sivananda
Frederic Burrhus Skinner;Psicólogo estadounidense;1904;1990;https://proverbia.net/autor/frases-de-frederic-burrhus-skinner
Samuel Smiles;Escritor y reformista escocés;1812;1904;https://proverbia.net/autor/frases-de-samuel-smiles
Adam Smith;Filósofo y economista escocés;1723;1790;https://proverbia.net/autor/frases-de-adam-smith
Alfred Emanuel Smith;Político estadounidense;1873;1944;https://proverbia.net/autor/frases-de-alfred-emanuel-smith
Horace Smith;Poeta y novelista inglés;1779;1849;https://proverbia.net/autor/frases-de-horace-smith
M. J.Smith;;;;https://proverbia.net/autor/frases-de-m-j-smith
Lee Smolin;Físico teórico y cosmólogo;1955 ;?;https://proverbia.net/autor/frases-de-lee-smolin
Sócrates;Filósofo griego;470 AC;399 AC;https://proverbia.net/autor/frases-de-socrates
Sófocles;Poeta trágico griego;495AC;406AC;https://proverbia.net/autor/frases-de-sofocles
Sofocleto;Escritor, periodista y humorista peruano;1926;2004;https://proverbia.net/autor/frases-de-sofocleto
RaulSoldi;;;;https://proverbia.net/autor/frases-de-raul-soldi
Solón de Atenas;Legislador griego;640 A.C.;558 A.C.;https://proverbia.net/autor/frases-de-solon-de-atenas
Aleksandr Solzhenitsyn;Escritor ruso;1918;2008;https://proverbia.net/autor/frases-de-aleksandr-solzhenitsin
Susan Sontag;Novelista y ensayista estadounidense;1933;2004;https://proverbia.net/autor/frases-de-susan-sontag
