name;info;birth;demise;dataUrl
Vicente Blasco Ibáñez;Escritor, periodista y político español;1867;1928;https://proverbia.net/autor/frases-de-vicente-blasco-ibanez
Harold Bloom;Crítico literario estadounidense;1930;?;https://proverbia.net/autor/frases-de-harold-bloom
León Bloy;Periodista y escritor francés;1846;1917;https://proverbia.net/autor/frases-de-leon-bloy
Giovanni Boccaccio;Escritor italiano;1313;1375;https://proverbia.net/autor/frases-de-giovanni-boccaccio
Jorge Boccanera;Poeta y periodista argentino;1952;?;https://proverbia.net/autor/frases-de-jorge-boccanera
Boecio;Filósofo y estadista romano;480;524;https://proverbia.net/autor/frases-de-boecio
Oriol Bohigas;Arquitecto, escritor y político español;1925;?;https://proverbia.net/autor/frases-de-oriol-bohigas
Cecilia Bohl de Faber;Escritora española;1796;1879;https://proverbia.net/autor/frases-de-cecilia-bohl-de-faber
Nicolas Boileau;Poeta y crítico literario francés;1636;1711;https://proverbia.net/autor/frases-de-nicolas-boileau
Simón Bolívar;Militar y político de origen venezolano;1783;1830;https://proverbia.net/autor/frases-de-simon-bolivar
Heinrich Böll;Escritor alemán;1917;1985;https://proverbia.net/autor/frases-de-heinrich--boll
Robert Bolt;Escritor y guionista británico;1924;1995;https://proverbia.net/autor/frases-de-robert-bolt
Louis de Bonald;Filósofo y político francés;1754;1840;https://proverbia.net/autor/frases-de-louis-de-bonald
Pierre Bonnard;Pintor francés;1867;1947;https://proverbia.net/autor/frases-de-pierre-bonnard
Bono;Cantante irlandés Líder del grupo U2;1960;?;https://proverbia.net/autor/frases-de-bono
Jorge Luis Borges;Escritor argentino;1899;1986;https://proverbia.net/autor/frases-de-jorge-luis-borges
César Borgia;Príncipe, guerrero y político italiano;1475;1507;https://proverbia.net/autor/frases-de-cesar-borgia
Ludwig Börne;Escritor alemán;1786;1837;https://proverbia.net/autor/frases-de-ludwig-borne
Jacques Benigne Bossuet;Clérigo católico francés y escritor;1627;1704;https://proverbia.net/autor/frases-de-jacques-benigne-bossuet
Stanislas de Boufflers;Escritor y político francés;1738;1815;https://proverbia.net/autor/frases-de-stanislas-de-boufflers
Louis Bourdaloue;Predicador jesuita francés;1632;1704;https://proverbia.net/autor/frases-de-louis-bourdaloue
Paul Charles Bourget;Escritor francés;1852;1935;https://proverbia.net/autor/frases-de-paul-charles-bourget
Habib Bourguiba;Abogado y político tunecino;1903;2000;https://proverbia.net/autor/frases-de-habib-bourguiba
Émile Boutroux;Filósofo francés;1845;1921;https://proverbia.net/autor/frases-de-emile-boutroux
Paul Bowles;Escritor y compositor estadounidense;1910;1999;https://proverbia.net/autor/frases-de-paul-bowles
Brian Bowling;;Humanista estadounidense.;;https://proverbia.net/autor/frases-de-brian-bowling
Sir John Bowring;Filósofo y político inglés;1792;1872;https://proverbia.net/autor/frases-de-sir-john-bowring
Francis J. Braceland;Psiquiatra estadounidense;1900;1985;https://proverbia.net/autor/frases-de-francis-j-braceland
Ray Bradbury;Escritor estadounidense;1920;2012;https://proverbia.net/autor/frases-de-ray-bradbury
Johannes Brahms;Compositor alemán;1833;1897;https://proverbia.net/autor/frases-de-johannes-brahms
Willy Brandt;Político alemán;1913;1992;https://proverbia.net/autor/frases-de-willy-brandt
Kazimierz Brandys;Novelista y ensayista polaco;1916;2000;https://proverbia.net/autor/frases-de-kazimierz-brandys
Georges Braque;Pintor francés;1882;1963;https://proverbia.net/autor/frases-de-georges-braque
Bertolt Brecht;Dramaturgo y poeta alemán;1898;1956;https://proverbia.net/autor/frases-de-bertolt-brecht
André Breton;Poeta y crítico francés;1896;1966;https://proverbia.net/autor/frases-de-andre-breton
M.Brickman;;;;https://proverbia.net/autor/frases-de-m-brickman
Anthelme Brillat-Savarín;Gastrónomo y escritor francés;1755;1826;https://proverbia.net/autor/frases-de-anthelme-brillatsavarin
Edward Benjamin Britten;Compositor británico;1913;1976;https://proverbia.net/autor/frases-de-edward-benjamin-britten
Charlotte Brontë;Novelista inglesa;1816;1855;https://proverbia.net/autor/frases-de-charlotte-bronte
Phillips Brooks;Clérigo episcopal americano;1835;1893;https://proverbia.net/autor/frases-de-phillips-brooks
Garth Brooks;Cantante y compositor estadounidense;1962;?;https://proverbia.net/autor/frases-de-garth-brooks
LordBrougham;;;;https://proverbia.net/autor/frases-de-lord-brougham
Elizabeth Barrett Browing;Poetisa inglesa;1806;1861;https://proverbia.net/autor/frases-de-elizabeth-barrett-browing
DavidBrown;;;;https://proverbia.net/autor/frases-de-david-brown
Thomas Browne;Médico y ensayista inglés;1605;1682;https://proverbia.net/autor/frases-de-thomas-browne
Robert Browning;Poeta inglés;1812;1889;https://proverbia.net/autor/frases-de-robert-browning
Caballero de Bruix;Escritor francés;1728;1780;https://proverbia.net/autor/frases-de-caballero-de-bruix
Paul Brulat;Escritor francés;1866;1940;https://proverbia.net/autor/frases-de-paul-brulat
Ferdinand Brunetière;Escritor y crítico francés;1849;1906;https://proverbia.net/autor/frases-de-ferdinand-brunetiere
Giordano Bruno;Filósofo, astrónomo y matemático italiano;1548;1600;https://proverbia.net/autor/frases-de-giordano-bruno
Steven Brust;Escritor estadounidense;1955;?;https://proverbia.net/autor/frases-de-steven-brust
Jean de la Bruyere;Escritor francés;1645;1696;https://proverbia.net/autor/frases-de-jean-de-la-bruyere
Alfredo Bryce Echenique;Escritor peruano;1939;?;https://proverbia.net/autor/frases-de-alfredo-bryce-echenique
Jorge Bucay;Escritor y psicoterapeuta argentino;1949;?;https://proverbia.net/autor/frases-de-jorge-bucay
Pearl S. Buck;Novelista estadounidense;1892;1973;https://proverbia.net/autor/frases-de-pearl-s-buck
Buda;Fundador del budismo;563 AC;486 AC;https://proverbia.net/autor/frases-de-buda
RamónBuenaventura;;;;https://proverbia.net/autor/frases-de-ramon-buenaventura
Antonio Buero Vallejo;Dramaturgo español;1916;2000;https://proverbia.net/autor/frases-de-antonio-buero-vallejo
Charles Bukowski;Escritor estadounidense;1920;1994;https://proverbia.net/autor/frases-de-charles-bukowski
William M. Bulger;Político estadounidense;1934;?;https://proverbia.net/autor/frases-de-william-m-bulger
Edward George Bulwer-Lytton;Escritor inglés;1803;1873;https://proverbia.net/autor/frases-de-edward-george-bulwerlytton
Ralph Bunche;Diplomático estadounidense;1904;1971;https://proverbia.net/autor/frases-de-ralph-bunche
Yvon Bunin;Escritor ruso;1870;1953;https://proverbia.net/autor/frases-de-yvon-bunin
Luis Buñuel;Cineasta español;1900;1983;https://proverbia.net/autor/frases-de-luis-bunuel
Bernice Buresh;;Escritora estadounidense.;;https://proverbia.net/autor/frases-de-bernice-buresh
Edmund Burke;Político y escritor irlandés;1729;1797;https://proverbia.net/autor/frases-de-edmund-burke
Robert Burns;Poeta escocés;1759;1796;https://proverbia.net/autor/frases-de-robert-burns
George Burns;Cómico estadounidense;1896;1996;https://proverbia.net/autor/frases-de-george-burns
Robert Burton;Escritor y clérigo inglés;1577;1640;https://proverbia.net/autor/frases-de-robert-burton
Samuel Butler (novelista);Novelista inglés;1835;1902;https://proverbia.net/autor/frases-de-samuel-butler-novelista
Valeriu Butulescu;Escritor y político rumano;1953;?;https://proverbia.net/autor/frases-de-valeriu-butulescu
Charles Buxton;Escritor y parlamentario británico;1823;1871;https://proverbia.net/autor/frases-de-charles-buxton
Lord Byron;Poeta británico;1788;1824;https://proverbia.net/autor/frases-de-lord-byron
