phrase;tags;dataUrl
Un libro abierto es un cerebro que habla; cerrado un amigo que espera; olvidado, un alma que perdona; destruido, un corazón que llora.;libros;https://proverbia.net/autor/frases-de-proverbio-hindu
Con mis maestros he aprendido mucho; con mis colegas, más; con mis alumnos todavía más.;aprender;https://proverbia.net/autor/frases-de-proverbio-hindu
Cuando hables, procura que tus palabras sean mejores que el silencio.;silencio;https://proverbia.net/autor/frases-de-proverbio-hindu
No hay árbol que el viento no haya sacudido.;sin clasificar;https://proverbia.net/autor/frases-de-proverbio-hindu
¿Qué ve el ciego, aunque se le ponga una lámpara en la mano?;tozudez;https://proverbia.net/autor/frases-de-proverbio-hindu
El corazón en paz ve una fiesta en todas las aldeas.;corazón;https://proverbia.net/autor/frases-de-proverbio-hindu
