phrase;tags;dataUrl
Es una locura amar, a menos de que se ame con locura.;amor;https://proverbia.net/autor/frases-de-proverbio-latino
Más confío en el trabajo que en la suerte.;trabajo;https://proverbia.net/autor/frases-de-proverbio-latino
Todos los hombres estamos hechos del mismo barro, pero no del mismo molde.;ser humano;https://proverbia.net/autor/frases-de-proverbio-mexicano
